mng_item	LJ_rank	Swadesh100	Swadesh200	ura100	ura149	concept	language	lgid3	item	item_IPA	form_set	cogn_set	borr_source	borr_qual	ETYm_notes	ref_borr	glossing_notes	general_notes	ref_abbr	age_term_pq (BCE/CE)	age_term_aq (BCE/CE)
1	1	1	1	1	1	fire / tuli	Proto-Uralic*	0	*tuli̮		1	a							UEW, Sam88		
1	1	1	1	1	1	fire / tuli	South Saami	101	dålle		1	a			*tule	SSA, NES, EES, UEW			NSsNdb		
1	1	1	1	1	1	fire / tuli	Ume Saami	102	dålla		1	a			*tule	SSA, NES, EES, UEW			WbWlap		
1	1	1	1	1	1	fire / tuli	Pite Saami	104	dållå		1	a			*tule	SSA, NES, EES, UEW					
1	1	1	1	1	1	fire / tuli	North Saami	105	dolla		1	a			*tule	SSA, NES, EES, UEW			SSSg		
1	1	1	1	1	1	fire / tuli	Inari Saami	106	tulla		1	a			*tule	SSA, NES, EES, UEW			InsSSk		
1	1	1	1	1	1	fire / tuli	Skolt Saami	107	toll		1	a			*tule	SSA, NES, EES, UEW			SKosSk		
1	1	1	1	1	1	fire / tuli	Kildin Saami	108	tōll		1	a			*tule	SSA, NES, EES, UEW			WOLD		
1	1	1	1	1	1	fire / tuli	Standard Finnish	203	tuli		1	a			*tule	SSA, NES, EES, UEW			-		
1	1	1	1	1	1	fire / tuli	Karelian Proper	204	tuli		1	a			*tule	SSA, NES, EES, UEW			KKSV		
1	1	1	1	1	1	fire / tuli	Veps	207	tulʹi		1	a			*tule	SSA, NES, EES, UEW			VVS		
1	1	1	1	1	1	fire / tuli	Veps	207	lʹämoi		2	b							VVS		
1	1	1	1	1	1	fire / tuli	Ingrian	208	tuli		1	a			*tule	SSA, NES, EES, UEW			InkmSk		
1	1	1	1	1	1	fire / tuli	Western Votic	209	tuli		1	a			*tule	SSA, NES, EES, UEW			VKJMS		
1	1	1	1	1	1	fire / tuli	Standard Estonian	210	tuli		1	a			*tule	SSA, NES, EES, UEW			SVSk		
1	1	1	1	1	1	fire / tuli	V�ro South Estonian	211	tuli		1	a			*tule	SSA, NES, EES, UEW			VESr		
1	1	1	1	1	1	fire / tuli	Courland Livonian	212	tuʾlʹ		1	a			*tule	SSA, NES, EES, UEW			LivWb		
1	1	1	1	1	1	fire / tuli	Erzya	301	tol		1	a			*tule	SSA, NES, EES, UEW			MordWb		
1	1	1	1	1	1	fire / tuli	Meadow Mari	401	tul		1	a			*tule	SSA, NES, EES, UEW			SMSk, TscherWb		
1	1	1	1	1	1	fire / tuli	Komi-Zyrian	501	bi		3	c			Possibly from PFU *p�jw�	Cs�cs2005, KESK			SyrjWsch		
1	1	1	1	1	1	fire / tuli	Komi-Permyak	503	bi		3	c			Possibly from PFU *p�jw�	Cs�cs2005, KESK			KoPRSl		
1	1	1	1	1	1	fire / tuli	Udmurt	504	ti̮l		1	a			*tule	SSA, NES, EES, UEW			WotjWsch		
1	1	1	1	1	1	fire / tuli	Hungarian	601	tűz		4	d			*tu???-t?, tu?w?-t? 'fire'	Zaizc2006, Tesz, UEW			FMSz		
1	1	1	1	1	1	fire / tuli	Sosva Mansi	701	ulʹa		5	e							WogWb		
1	1	1	1	1	1	fire / tuli	Sosva Mansi	701	nāj		6	f							WogWb		
1	1	1	1	1	1	fire / tuli	Vakh-Vasyugan Khanty	807	tö̆ɣət		4	d			Similar in Tungusic	UEW (uralonet), DEWOS			DEWbOstj		
1	1	1	1	1	1	fire / tuli	Tundra Nenets	902	tu		1	a			*tule	SSA, NES, EES, UEW			JurSWb		
1	1	1	1	1	1	fire / tuli	Selkup	907	tǖ		1	a			*tule	SSA, NES, EES, UEW			S�lkWb		
2	2	1	1	1	1	nose / nen�	Proto-Uralic*	0	*ńäri ?		3	c						Reconstructability and original meaning uncertain	UEW, Sam88		
2	2	1	1	1	1	nose / nen�	South Saami	101	njuenie		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,			NSsNdb		
2	2	1	1	1	1	nose / nen�	Ume Saami	102	njüennee		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,			WbWlap		
2	2	1	1	1	1	nose / nen�	Pite Saami	104	njuonne		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,					
2	2	1	1	1	1	nose / nen�	North Saami	105	njunni		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,			SSSg		
2	2	1	1	1	1	nose / nen�	Inari Saami	106	njune		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,			InsSSk		
2	2	1	1	1	1	nose / nen�	Skolt Saami	107	njuuʹnn		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,			SKosSk		
2	2	1	1	1	1	nose / nen�	Kildin Saami	108	njunn’		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,			WOLD		
2	2	1	1	1	1	nose / nen�	Standard Finnish	203	nenä		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,			-		
2	2	1	1	1	1	nose / nen�	Karelian Proper	204	nenä		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,			KKSV		
2	2	1	1	1	1	nose / nen�	Veps	207	ńena		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,			VVS		
2	2	1	1	1	1	nose / nen�	Ingrian	208	nenä		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,			InkmSk		
2	2	1	1	1	1	nose / nen�	Western Votic	209	nenä		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,			VKJMS		
2	2	1	1	1	1	nose / nen�	Standard Estonian	210	nina		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,			SVSk		
2	2	1	1	1	1	nose / nen�	V�ro South Estonian	211	nyna		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,			VESr		
2	2	1	1	1	1	nose / nen�	Courland Livonian	212	nanà		1	a			*?ana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES,			LivWb		
2	2	1	1	1	1	nose / nen�	Erzya	301	sudo		2	b			Rejected connections to suunta, onomatopoetic origin and similar Turkic words noted, Cygnakin & Mosin support suunta-connection	Vershinin 2009			MordWb		
2	2	1	1	1	1	nose / nen�	Meadow Mari	401	ner		3	c			*nere (ne?re)  'nose'	Cs�cs2005, UEW			SMSk, TscherWb		
2	2	1	1	1	1	nose / nen�	Komi-Zyrian	501	ni̮r		3	c			*nere (ne?re)  'nose'	Cs�cs2005, UEW			SyrjWsch		
2	2	1	1	1	1	nose / nen�	Komi-Permyak	503	ni̮r		3	c			*nere (ne?re)  'nose'	Cs�cs2005, UEW			KoPRSl		
2	2	1	1	1	1	nose / nen�	Udmurt	504	ni̮r		3	c							WotjWsch		
2	2	1	1	1	1	nose / nen�	Hungarian	601	orr		4	d			*we?re (wo?re) 'mountain' unclear	Zaizc2006, Tesz, UEW			FMSz		
2	2	1	1	1	1	nose / nen�	Sosva Mansi	701	ńol		5	e							WogWb		
2	2	1	1	1	1	nose / nen�	Vakh-Vasyugan Khanty	807	ńŏl		5	e							DEWbOstj		
2	2	1	1	1	1	nose / nen�	Tundra Nenets	902	piya		6	f				Alatalo 2004, Janhunen 1977			JurSWb		
2	2	1	1	1	1	nose / nen�	Selkup	907	pućə		6	f				Alatalo 2004, Janhunen 1977			S�lkWb		
3	3	0	0	1	1	go / menn�	Meadow Mari	401	kajem		5	e	Volga Bulgar Turkic	probable	"Because of vowel history possibly from a Volga Volga Bulgar Turkic dialect that was not precessor of Chuvas, Possibly cogn. with Fin ""k�yd�"" 'visit, roam, come about'"	Bereczki2013	'Go, move'		SMSk, TscherWb		
3	3	0	0	1	1	go / menn�	Proto-Uralic*	0	*meni-		1	a							UEW, Sam88		
3	3	0	0	1	1	go / menn�	South Saami	101	mïnnedh		1	a			*meni - *mene-.	SSA, NES, UEW			NSsNdb		
3	3	0	0	1	1	go / menn�	South Saami	101	juhtedh		8	h							NSsNdb		
3	3	0	0	1	1	go / menn�	Ume Saami	102	mannat		1	a			*meni - *mene-.	SSA, NES, UEW			WbWlap		
3	3	0	0	1	1	go / menn�	Pite Saami	104	mannat		1	a			*meni - *mene-.	SSA, NES, UEW					
3	3	0	0	1	1	go / menn�	North Saami	105	mannat		1	a			*meni - *mene-.	SSA, NES, UEW			SSSg		
3	3	0	0	1	1	go / menn�	Inari Saami	106	moonnađ		1	a			*meni - *mene-.	SSA, NES, UEW			InsSSk		
3	3	0	0	1	1	go / menn�	Skolt Saami	107	mõõnnâd		1	a			*meni - *mene-.	SSA, NES, UEW			SKosSk		
3	3	0	0	1	1	go / menn�	Kildin Saami	108	mēnne		1	a			*meni - *mene-.	SSA, NES, UEW			WOLD		
3	3	0	0	1	1	go / menn�	Standard Finnish	203	mennä		1	a			*meni - *mene-.	SSA, NES, UEW			-		
3	3	0	0	1	1	go / menn�	Karelian Proper	204	männä		1	a			*meni - *mene-.	SSA, NES, UEW		"In Olonets Karelian (Livvi), ""menn�"""	KKSV		
3	3	0	0	1	1	go / menn�	Veps	207	mändä		1	a			*meni - *mene-.	SSA, NES, UEW			VVS		
3	3	0	0	1	1	go / menn�	Ingrian	208	männä		1	a			*meni - *mene-.	SSA, NES, UEW			InkmSk		
