mng_item	LJ_rank	Swadesh100	Swadesh200	ura100	ura149	concept	language	lgid3	item	item_IPA	form_set	cogn_set	borr_source	borr_qual	ETYm_notes	ref_borr	glossing_notes	general_notes	ref_abbr	age_term_pq (BCE/CE)	age_term_aq (BCE/CE)
1	1	1	1	1	1	fire / tuli	Proto-Uralic*	0	*tuli̮		1	a							UEW, Sam88		
1	1	1	1	1	1	fire / tuli	South Saami	101	dålle		1	a	U		*tule	SSA, NES, EES, UEW			NSsNdb		
1	1	1	1	1	1	fire / tuli	Ume Saami	102	dålla		1	a	U		*tule	SSA, NES, EES, UEW			WbWlap		
1	1	1	1	1	1	fire / tuli	Pite Saami	104	dållå		1	a	U		*tule	SSA, NES, EES, UEW					
1	1	1	1	1	1	fire / tuli	North Saami	105	dolla		1	a	U		*tule	SSA, NES, EES, UEW			SSSg		
1	1	1	1	1	1	fire / tuli	Inari Saami	106	tulla		1	a	U		*tule	SSA, NES, EES, UEW			InsSSk		
1	1	1	1	1	1	fire / tuli	Skolt Saami	107	toll		1	a	U		*tule	SSA, NES, EES, UEW			SKosSk		
1	1	1	1	1	1	fire / tuli	Kildin Saami	108	tōll		1	a	U		*tule	SSA, NES, EES, UEW			WOLD		
1	1	1	1	1	1	fire / tuli	Standard Finnish	203	tuli		1	a	U		*tule	SSA, NES, EES, UEW			-		
1	1	1	1	1	1	fire / tuli	Karelian Proper	204	tuli		1	a	U		*tule	SSA, NES, EES, UEW			KKSV		
1	1	1	1	1	1	fire / tuli	Veps	207	tulʹi		1	a	U		*tule	SSA, NES, EES, UEW			VVS		
1	1	1	1	1	1	fire / tuli	Veps	207	lʹämoi		2	b							VVS		
1	1	1	1	1	1	fire / tuli	Ingrian	208	tuli		1	a	U		*tule	SSA, NES, EES, UEW			InkmSk		
1	1	1	1	1	1	fire / tuli	Western Votic	209	tuli		1	a	U		*tule	SSA, NES, EES, UEW			VKJMS		
1	1	1	1	1	1	fire / tuli	Standard Estonian	210	tuli		1	a	U		*tule	SSA, NES, EES, UEW			SVSk		
1	1	1	1	1	1	fire / tuli	Võro South Estonian	211	tuli		1	a	U		*tule	SSA, NES, EES, UEW			VESr		
1	1	1	1	1	1	fire / tuli	Courland Livonian	212	tuʾlʹ		1	a	U		*tule	SSA, NES, EES, UEW			LivWb		
1	1	1	1	1	1	fire / tuli	Erzya	301	tol		1	a	U		*tule	SSA, NES, EES, UEW			MordWb		
1	1	1	1	1	1	fire / tuli	Meadow Mari	401	tul		1	a	U		*tule	SSA, NES, EES, UEW			SMSk, TscherWb		
1	1	1	1	1	1	fire / tuli	Komi-Zyrian	501	bi		3	c	FU		Possibly from PFU *päjwä	Csúcs2005, KESK			SyrjWsch		
1	1	1	1	1	1	fire / tuli	Komi-Permyak	503	bi		3	c	FU		Possibly from PFU *päjwä	Csúcs2005, KESK			KoPRSl		
1	1	1	1	1	1	fire / tuli	Udmurt	504	ti̮l		1	a	U		*tule	SSA, NES, EES, UEW			WotjWsch		
1	1	1	1	1	1	fire / tuli	Hungarian	601	tűz		4	d	UGR		*tüγɜ-tɜ, tüwɜ-tɜ 'fire'	Zaizc2006, Tesz, UEW			FMSz		
1	1	1	1	1	1	fire / tuli	Sosva Mansi	701	ulʹa		5	e							WogWb		
1	1	1	1	1	1	fire / tuli	Sosva Mansi	701	nāj		6	f							WogWb		
1	1	1	1	1	1	fire / tuli	Vakh-Vasyugan Khanty	807	tö̆ɣət		4	d	UGR		Similar in Tungusic	UEW (uralonet), DEWOS			DEWbOstj		
1	1	1	1	1	1	fire / tuli	Tundra Nenets	902	tu		1	a	U		*tule	SSA, NES, EES, UEW			JurSWb		
1	1	1	1	1	1	fire / tuli	Selkup	907	tǖ		1	a	U		*tule	SSA, NES, EES, UEW			SölkWb		
2	2	1	1	1	1	nose / nenä	Proto-Uralic*	0	*ńäri ?		3	c						Reconstructability and original meaning uncertain	UEW, Sam88		
2	2	1	1	1	1	nose / nenä	South Saami	101	njuenie		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 			NSsNdb		
2	2	1	1	1	1	nose / nenä	Ume Saami	102	njüennee		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 			WbWlap		
2	2	1	1	1	1	nose / nenä	Pite Saami	104	njuonne		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 					
2	2	1	1	1	1	nose / nenä	North Saami	105	njunni		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 			SSSg		
2	2	1	1	1	1	nose / nenä	Inari Saami	106	njune		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 			InsSSk		
2	2	1	1	1	1	nose / nenä	Skolt Saami	107	njuuʹnn		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 			SKosSk		
2	2	1	1	1	1	nose / nenä	Kildin Saami	108	njunn’		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 			WOLD		
2	2	1	1	1	1	nose / nenä	Standard Finnish	203	nenä		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 			-		
2	2	1	1	1	1	nose / nenä	Karelian Proper	204	nenä		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 			KKSV		
2	2	1	1	1	1	nose / nenä	Veps	207	ńena		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 			VVS		
2	2	1	1	1	1	nose / nenä	Ingrian	208	nenä		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 			InkmSk		
2	2	1	1	1	1	nose / nenä	Western Votic	209	nenä		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 			VKJMS		
2	2	1	1	1	1	nose / nenä	Standard Estonian	210	nina		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 			SVSk		
2	2	1	1	1	1	nose / nenä	Võro South Estonian	211	nyna		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 			VESr		
2	2	1	1	1	1	nose / nenä	Courland Livonian	212	nanà		1	a	Finno-Saamic		*ńana (Sammallahti) Irregular vowel correspondences. Possibly descriptive origin?	SSA, NES, EES, 			LivWb		
2	2	1	1	1	1	nose / nenä	Erzya	301	sudo		2	b			Rejected connections to suunta, onomatopoetic origin and similar Turkic words noted, Cygnakin & Mosin support suunta-connection	Vershinin 2009			MordWb		
2	2	1	1	1	1	nose / nenä	Meadow Mari	401	ner		3	c	U		*nere (nēre)  'nose'	Csúcs2005, UEW			SMSk, TscherWb		
2	2	1	1	1	1	nose / nenä	Komi-Zyrian	501	ni̮r		3	c	U		*nere (nēre)  'nose'	Csúcs2005, UEW			SyrjWsch		
2	2	1	1	1	1	nose / nenä	Komi-Permyak	503	ni̮r		3	c	U		*nere (nēre)  'nose'	Csúcs2005, UEW			KoPRSl		
2	2	1	1	1	1	nose / nenä	Udmurt	504	ni̮r		3	c							WotjWsch		
2	2	1	1	1	1	nose / nenä	Hungarian	601	orr		4	d	FU		*we̮re (wōre) 'mountain' unclear	Zaizc2006, Tesz, UEW			FMSz		
2	2	1	1	1	1	nose / nenä	Sosva Mansi	701	ńol		5	e							WogWb		
2	2	1	1	1	1	nose / nenä	Vakh-Vasyugan Khanty	807	ńŏl		5	e							DEWbOstj		
2	2	1	1	1	1	nose / nenä	Tundra Nenets	902	piya		6	f	Samoyedic			Alatalo 2004, Janhunen 1977			JurSWb		
2	2	1	1	1	1	nose / nenä	Selkup	907	pućə		6	f	Samoyedic			Alatalo 2004, Janhunen 1977			SölkWb		
3	3	0	0	1	1	go / mennä	Proto-Uralic*	0	*meni-		1	a							UEW, Sam88		
