lgid3	mng_item	item	form_set	cogn_set	borr_qual	borr_source
211	23	kaugun, kavvõl, etc.	3	c	probable	Germanic
211	50	sau	1	a	possible	Germanic
108	68	čīgke	5	e	clear	Baltic
211	96	väikene, väiko ~ väiku	2	b	possible	Germanic
211	102	kyik'	1	a	clear	Baltic
211	152	myni	1	a	possible	Indo-European
211	156	ahas	4	d	probable	Baltic
211	160	tymbama	2	b	clear	Baltic
211	170	seemen ~ seemeq	1	a	clear	Baltic
105	172	�vjui	4	d	clear	Scandinavian
211	177	nuhatama	2	b	clear	Russian
104	211	jahke	3	i	clear	Finnic
211	253	mii:s'	1	a	probable	Germanic
907	258	o??l	12	l	probable	Yeniseian
102	259	�l?geet, �?l?gat	1	r	clear	Finnic
104	259	�lgeduvvut, �llget	1	r	clear	Finnic
105	259	�lgit	1	r	clear	Finnic
107	259	�???led	1	r	clear	Finnic
108	259	all�ke	1	r	clear	Finnic
211	279	sysar'	1	a	clear	Baltic
211	308	väsüne	1	a	possible	Germanic
